user_id,reading_session,article_id,max_offset,min_offset,offset_difference,relative_time
111,00c29290-338e-42e9-8897-c475c799e1e5,30118783,61,10,51,0
111,00c29290-338e-42e9-8897-c475c799e1e5,30118783,0,0,0,1
111,2684b548-a936-46f8-90d7-3941bb9cd096,30345801,203,5,198,0
111,2684b548-a936-46f8-90d7-3941bb9cd096,30345801,336,0,-336,1
111,2684b548-a936-46f8-90d7-3941bb9cd096,30367210,650,46,604,0
111,2684b548-a936-46f8-90d7-3941bb9cd096,30367210,2674,651,2023,1
111,2684b548-a936-46f8-90d7-3941bb9cd096,30367210,3374,2690,684,2
111,2684b548-a936-46f8-90d7-3941bb9cd096,30367210,4313,3412,901,3
111,2684b548-a936-46f8-90d7-3941bb9cd096,30367210,4314,4314,0,4
111,2684b548-a936-46f8-90d7-3941bb9cd096,30367210,4214,4094,-120,5
111,2684b548-a936-46f8-90d7-3941bb9cd096,30367210,3979,0,-3979,6
111,2684b548-a936-46f8-90d7-3941bb9cd096,30367210,2041,55,1986,7
111,2684b548-a936-46f8-90d7-3941bb9cd096,30367210,4130,2093,2037,8
111,2684b548-a936-46f8-90d7-3941bb9cd096,30367210,4326,4191,135,9
111,2684b548-a936-46f8-90d7-3941bb9cd096,30367210,0,0,0,10
111,8c8d8c80-2f20-4a44-9e12-29742765d49e,30373336,41,21,20,0
111,8c8d8c80-2f20-4a44-9e12-29742765d49e,30373336,155,50,105,228
111,8c8d8c80-2f20-4a44-9e12-29742765d49e,30373336,1042,172,870,235
111,8c8d8c80-2f20-4a44-9e12-29742765d49e,30373336,1425,494,-931,236
111,8c8d8c80-2f20-4a44-9e12-29742765d49e,30373336,478,165,-313,237
111,8c8d8c80-2f20-4a44-9e12-29742765d49e,30370570,163,82,81,0
111,8c8d8c80-2f20-4a44-9e12-29742765d49e,30370570,654,180,474,1
111,8c8d8c80-2f20-4a44-9e12-29742765d49e,30370570,584,0,-584,2
111,a79efb45-0797-4bb2-9d1e-bc8ae9002b2f,30371222,200,0,-200,0
111,a79efb45-0797-4bb2-9d1e-bc8ae9002b2f,30371222,293,5,288,1
111,a79efb45-0797-4bb2-9d1e-bc8ae9002b2f,30371222,702,306,396,2
111,a79efb45-0797-4bb2-9d1e-bc8ae9002b2f,30371222,860,675,-185,3
111,a79efb45-0797-4bb2-9d1e-bc8ae9002b2f,30368103,114,24,90,0
111,a79efb45-0797-4bb2-9d1e-bc8ae9002b2f,30368103,214,0,-214,1
111,7f43cc1a-ee02-409e-bdd3-1464a5dd339a,31534153,365,70,295,0
111,7f43cc1a-ee02-409e-bdd3-1464a5dd339a,31534153,283,0,-283,2
111,c7689cc2-4210-4fd1-9d4b-b8884ce591e9,31532755,304,33,271,0
111,c7689cc2-4210-4fd1-9d4b-b8884ce591e9,31532755,531,0,-531,1
111,c7689cc2-4210-4fd1-9d4b-b8884ce591e9,31532755,0,0,0,2
111,b49e6211-9b6a-432b-bce6-03ea460529d1,31554844,637,0,-637,0
111,b49e6211-9b6a-432b-bce6-03ea460529d1,31554844,794,0,-794,1
111,b49e6211-9b6a-432b-bce6-03ea460529d1,31554844,26,0,-26,2
111,b49e6211-9b6a-432b-bce6-03ea460529d1,31554844,141,31,110,9
111,b49e6211-9b6a-432b-bce6-03ea460529d1,31554844,575,124,451,10
111,b49e6211-9b6a-432b-bce6-03ea460529d1,31554844,1242,609,-633,11
111,b49e6211-9b6a-432b-bce6-03ea460529d1,31554844,1332,580,-752,12
111,b49e6211-9b6a-432b-bce6-03ea460529d1,31554844,1284,0,-1284,13
111,39039618-ec57-4d60-b0c8-097a6811968a,31589202,191,0,-191,0
111,35576f94-f792-4c4d-aef5-f1ca9a53626d,31586980,315,59,256,0
111,35576f94-f792-4c4d-aef5-f1ca9a53626d,31586980,288,0,-288,1
111,35576f94-f792-4c4d-aef5-f1ca9a53626d,31586980,16,0,-16,2
111,35576f94-f792-4c4d-aef5-f1ca9a53626d,31582399,473,36,437,0
111,35576f94-f792-4c4d-aef5-f1ca9a53626d,31585149,9,1,8,0
111,35576f94-f792-4c4d-aef5-f1ca9a53626d,31585149,207,0,207,1
111,35576f94-f792-4c4d-aef5-f1ca9a53626d,31585149,1910,252,1658,2
111,35576f94-f792-4c4d-aef5-f1ca9a53626d,31585149,1864,1765,-99,3
111,35576f94-f792-4c4d-aef5-f1ca9a53626d,31585149,1745,1504,-241,4
111,35576f94-f792-4c4d-aef5-f1ca9a53626d,31585149,1460,574,-886,10
111,35576f94-f792-4c4d-aef5-f1ca9a53626d,31585149,541,0,-541,11
111,35576f94-f792-4c4d-aef5-f1ca9a53626d,31587621,411,54,357,0
111,35576f94-f792-4c4d-aef5-f1ca9a53626d,31587621,915,434,481,2
111,35576f94-f792-4c4d-aef5-f1ca9a53626d,31587621,927,0,-927,3
111,35576f94-f792-4c4d-aef5-f1ca9a53626d,31589202,427,62,365,0
111,35576f94-f792-4c4d-aef5-f1ca9a53626d,31589202,340,0,-340,1
111,35576f94-f792-4c4d-aef5-f1ca9a53626d,31582826,311,42,269,0
111,35576f94-f792-4c4d-aef5-f1ca9a53626d,31582826,502,317,185,1
111,35576f94-f792-4c4d-aef5-f1ca9a53626d,31582826,616,518,98,2
111,35576f94-f792-4c4d-aef5-f1ca9a53626d,31582826,729,628,101,3
111,35576f94-f792-4c4d-aef5-f1ca9a53626d,31582826,1027,741,286,4
111,35576f94-f792-4c4d-aef5-f1ca9a53626d,31582826,971,0,-971,5
111,a6fbba83-556c-4b95-9cf6-76f112ff6cee,31730542,29,1,28,0
111,a6fbba83-556c-4b95-9cf6-76f112ff6cee,31730542,30,30,0,1
111,96ec40d6-3ddc-40d6-b043-a9cb2c2bcbc1,31831857,43,36,7,0
111,96ec40d6-3ddc-40d6-b043-a9cb2c2bcbc1,31831857,453,73,380,1
111,96ec40d6-3ddc-40d6-b043-a9cb2c2bcbc1,31831857,456,454,2,2
111,c0d61561-3f7c-48c6-9f5f-e900c7ec46e4,31832392,273,173,100,0
111,c0d61561-3f7c-48c6-9f5f-e900c7ec46e4,31832392,784,276,508,1
111,c0d61561-3f7c-48c6-9f5f-e900c7ec46e4,31832392,1811,808,1003,2
111,c0d61561-3f7c-48c6-9f5f-e900c7ec46e4,31832392,2276,1504,-772,3
111,c0d61561-3f7c-48c6-9f5f-e900c7ec46e4,31832392,1454,0,-1454,4
111,20208a99-6c52-489c-aa03-8b6f86532360,31835198,1384,294,1090,0
111,20208a99-6c52-489c-aa03-8b6f86532360,31835198,1342,1206,-136,1
111,20208a99-6c52-489c-aa03-8b6f86532360,31835198,1159,0,-1159,2
111,1054b847-a347-4859-85c3-c39ae253659c,31956026,229,0,-229,0
111,de29cda7-59e6-43e3-b469-b7c2be33a4f0,32091020,2200,188,2012,0
111,de29cda7-59e6-43e3-b469-b7c2be33a4f0,32091020,3326,2308,1018,1
111,b8e65d29-1df2-4133-87c9-581828fd0fc3,32083181,3672,159,3513,0
111,b8e65d29-1df2-4133-87c9-581828fd0fc3,32083181,4348,3405,-943,1
111,b8e65d29-1df2-4133-87c9-581828fd0fc3,32083181,3301,0,-3301,2
111,b8e65d29-1df2-4133-87c9-581828fd0fc3,32083181,4348,1583,2765,3
111,b8e65d29-1df2-4133-87c9-581828fd0fc3,32083181,4240,0,-4240,6
111,b8e65d29-1df2-4133-87c9-581828fd0fc3,32083181,868,53,815,10
111,b8e65d29-1df2-4133-87c9-581828fd0fc3,32083181,4348,969,3379,12
111,b8e65d29-1df2-4133-87c9-581828fd0fc3,32083181,4338,4336,-2,13
111,0a00faa2-c867-4d14-a3f3-5e03cb3f87b3,32082660,2080,213,1867,0
111,0a00faa2-c867-4d14-a3f3-5e03cb3f87b3,32082660,2017,88,-1929,1
111,0a00faa2-c867-4d14-a3f3-5e03cb3f87b3,32082660,1043,0,1043,2
111,0a00faa2-c867-4d14-a3f3-5e03cb3f87b3,32082660,1047,0,-1047,3
111,8592e996-3cbb-452c-87b9-c3f467a9a16b,32157686,211,59,152,0
111,8592e996-3cbb-452c-87b9-c3f467a9a16b,32157686,1004,246,758,1
111,8592e996-3cbb-452c-87b9-c3f467a9a16b,32157686,2011,1044,967,2
111,8592e996-3cbb-452c-87b9-c3f467a9a16b,32157686,3012,2032,980,3
111,8592e996-3cbb-452c-87b9-c3f467a9a16b,32157686,4616,3017,1599,4
111,8592e996-3cbb-452c-87b9-c3f467a9a16b,32157686,4539,3168,-1371,5
111,8592e996-3cbb-452c-87b9-c3f467a9a16b,32157686,3154,2616,-538,6
122,97da3dcc-eb6e-428a-b9fb-4fd992e33983,36522510,581,10,571,0
122,97da3dcc-eb6e-428a-b9fb-4fd992e33983,36522510,944,613,331,1
122,97da3dcc-eb6e-428a-b9fb-4fd992e33983,36522510,1083,785,298,3
122,97da3dcc-eb6e-428a-b9fb-4fd992e33983,36522510,1604,1088,516,4
122,97da3dcc-eb6e-428a-b9fb-4fd992e33983,36522510,2040,1614,426,5
122,97da3dcc-eb6e-428a-b9fb-4fd992e33983,36522510,2425,2069,356,6
124,c163ec0f-3639-49ef-b926-1965202de3be,36537821,417,14,403,0
124,c163ec0f-3639-49ef-b926-1965202de3be,36537821,2239,471,1768,1
124,c163ec0f-3639-49ef-b926-1965202de3be,36537821,2828,2263,565,2
124,c163ec0f-3639-49ef-b926-1965202de3be,36537821,2802,1159,-1643,4
124,c163ec0f-3639-49ef-b926-1965202de3be,36537821,1114,496,-618,5
124,c163ec0f-3639-49ef-b926-1965202de3be,36537821,480,98,-382,7
124,c163ec0f-3639-49ef-b926-1965202de3be,36537821,96,47,-49,8
124,c163ec0f-3639-49ef-b926-1965202de3be,36537821,582,77,505,9
124,c163ec0f-3639-49ef-b926-1965202de3be,36537821,778,600,178,10
124,c163ec0f-3639-49ef-b926-1965202de3be,36537821,1104,793,311,11
124,c163ec0f-3639-49ef-b926-1965202de3be,36537821,1594,1108,486,12
124,c163ec0f-3639-49ef-b926-1965202de3be,36537821,2075,1595,480,13
124,c163ec0f-3639-49ef-b926-1965202de3be,36537821,2828,2084,744,14
124,d200eb88-976c-4f8c-86b4-3304e6eb7235,36551464,2064,77,1987,0
124,d200eb88-976c-4f8c-86b4-3304e6eb7235,36551464,2091,0,-2091,1
124,d200eb88-976c-4f8c-86b4-3304e6eb7235,36551464,1388,33,1355,2
124,d200eb88-976c-4f8c-86b4-3304e6eb7235,36551464,1398,1041,-357,3
124,d200eb88-976c-4f8c-86b4-3304e6eb7235,36551464,1013,880,-133,4
124,d200eb88-976c-4f8c-86b4-3304e6eb7235,36551464,1969,904,1065,5
124,d200eb88-976c-4f8c-86b4-3304e6eb7235,36551464,1989,1973,16,6
124,d200eb88-976c-4f8c-86b4-3304e6eb7235,36551464,1967,0,-1967,7
124,513d1613-1f1a-4cec-b619-3840f475df55,36551464,305,5,300,0
124,513d1613-1f1a-4cec-b619-3840f475df55,36551464,1105,337,768,1
124,513d1613-1f1a-4cec-b619-3840f475df55,36551464,1807,1110,697,2
124,513d1613-1f1a-4cec-b619-3840f475df55,36551464,2557,1821,736,3
124,513d1613-1f1a-4cec-b619-3840f475df55,36551464,3058,2570,488,4
124,513d1613-1f1a-4cec-b619-3840f475df55,36551464,3487,3061,426,5
124,513d1613-1f1a-4cec-b619-3840f475df55,36551464,4858,3520,1338,6
124,513d1613-1f1a-4cec-b619-3840f475df55,36551464,5272,4886,386,7
125,b7c0e75f-d9d6-4518-9605-e2d160f37fa4,36514116,234,0,-234,0
125,b7c0e75f-d9d6-4518-9605-e2d160f37fa4,36514116,1430,9,1421,2
125,b7c0e75f-d9d6-4518-9605-e2d160f37fa4,36514116,1494,1376,-118,3
125,b7c0e75f-d9d6-4518-9605-e2d160f37fa4,36514116,1420,1383,37,4
125,b7c0e75f-d9d6-4518-9605-e2d160f37fa4,36514116,2499,1436,1063,5
125,b7c0e75f-d9d6-4518-9605-e2d160f37fa4,36514116,2615,2514,101,6
125,b7c0e75f-d9d6-4518-9605-e2d160f37fa4,36514116,2920,2615,305,11
125,b7c0e75f-d9d6-4518-9605-e2d160f37fa4,36514116,3098,2930,168,12
125,b7c0e75f-d9d6-4518-9605-e2d160f37fa4,36549674,927,36,891,0
125,b7c0e75f-d9d6-4518-9605-e2d160f37fa4,36549674,970,942,28,1
125,b7c0e75f-d9d6-4518-9605-e2d160f37fa4,36549674,1344,983,361,13
125,b7c0e75f-d9d6-4518-9605-e2d160f37fa4,36549674,1633,1345,288,14
125,b7c0e75f-d9d6-4518-9605-e2d160f37fa4,36549674,1714,1635,79,19
125,b7c0e75f-d9d6-4518-9605-e2d160f37fa4,36549674,1864,1715,149,20
125,b7c0e75f-d9d6-4518-9605-e2d160f37fa4,36549674,2014,1890,124,26
125,b7c0e75f-d9d6-4518-9605-e2d160f37fa4,36549674,2331,2021,310,27
125,b7c0e75f-d9d6-4518-9605-e2d160f37fa4,36549674,2476,2268,208,28
125,b7c0e75f-d9d6-4518-9605-e2d160f37fa4,36549674,2699,2483,216,31
125,b7c0e75f-d9d6-4518-9605-e2d160f37fa4,36549674,2986,2710,276,32
125,b7c0e75f-d9d6-4518-9605-e2d160f37fa4,36549674,3561,2988,573,33
125,b7c0e75f-d9d6-4518-9605-e2d160f37fa4,36549674,4284,3600,684,48
125,b7c0e75f-d9d6-4518-9605-e2d160f37fa4,36549674,4690,4291,399,49
125,b7c0e75f-d9d6-4518-9605-e2d160f37fa4,36549674,5754,4723,1031,66
124,0fbe240c-7015-4a2c-8924-735defe18174,36573970,304,15,289,0
124,0fbe240c-7015-4a2c-8924-735defe18174,36573970,1989,320,1669,1
124,0fbe240c-7015-4a2c-8924-735defe18174,36573970,2271,2059,212,2
124,0fbe240c-7015-4a2c-8924-735defe18174,36573970,2253,1320,-933,3
124,0fbe240c-7015-4a2c-8924-735defe18174,36573970,1315,836,-479,4
124,0fbe240c-7015-4a2c-8924-735defe18174,36573970,815,285,-530,5
124,0fbe240c-7015-4a2c-8924-735defe18174,36573970,284,283,-1,6
124,0fbe240c-7015-4a2c-8924-735defe18174,36573970,1333,289,1044,9
124,0fbe240c-7015-4a2c-8924-735defe18174,36573970,2271,1353,918,10
124,0fbe240c-7015-4a2c-8924-735defe18174,36575493,577,4,573,0
124,0fbe240c-7015-4a2c-8924-735defe18174,36575493,1923,595,1328,1
124,0fbe240c-7015-4a2c-8924-735defe18174,36575493,2551,1964,587,2
124,0fbe240c-7015-4a2c-8924-735defe18174,36575493,3162,2575,587,3
124,0fbe240c-7015-4a2c-8924-735defe18174,36575493,3392,3165,227,4
124,0fbe240c-7015-4a2c-8924-735defe18174,36575493,3401,3394,7,5
124,0fbe240c-7015-4a2c-8924-735defe18174,36575493,3493,3407,86,6
124,0fbe240c-7015-4a2c-8924-735defe18174,36575493,3539,3494,45,7
124,0fbe240c-7015-4a2c-8924-735defe18174,36575493,3811,3541,270,8
124,0fbe240c-7015-4a2c-8924-735defe18174,36575493,3979,3815,164,9
124,0fbe240c-7015-4a2c-8924-735defe18174,36575493,4546,3988,558,10
124,0fbe240c-7015-4a2c-8924-735defe18174,36575493,4553,4547,6,20
