user_id,reading_session,article_id,scroll_range,max_offset,ratio,displayedWords,reading_duration,numberOfWords,numOfScroll,freScroll,reading_speed
1,00c624b7-67d6-4c7a-b3dd-0a27af0c80e4,32582510,3470,810,0.2334,542.1882,5,2323,70,14,6506.2584
1,05c90c8e-eec7-4cd0-8edd-74f84ce4da72,37860880,4262,3152,0.7396,1594.5776,26,2156,332,12.76923077,3679.794462
1,08988275-1dab-44b9-82c1-a126c16465e3,36321394,9356,8246,0.8814,2281.0632,9,2588,19,2.111111111,15207.088
1,0b773369-8de5-45bd-974f-b048b844defa,36329818,6104,4994,0.8182,1706.7652,15,2086,65,4.333333333,6827.0608
1,0b773369-8de5-45bd-974f-b048b844defa,36329818,6104,4994,0.8182,1706.7652,2,2086,65,32.5,51202.956
1,0b773369-8de5-45bd-974f-b048b844defa,36331270,2748,1638,0.5961,914.4174,10,1534,83,8.3,5486.5044
1,0b773369-8de5-45bd-974f-b048b844defa,36331448,2086,976,0.4679,601.2515,41,1285,254,6.195121951,879.8802439
1,0e933e3c-1d6b-4499-9263-68166cf324fa,33881387,5488,2625,0.4783,912.5964,7,1908,156,22.28571429,7822.254857
1,105318c5-3b14-4ba6-b1fb-e1513eb0da35,32604552,9362,3326,0.3553,805.4651,10,2267,167,16.7,4832.7906
1,105318c5-3b14-4ba6-b1fb-e1513eb0da35,32608295,5148,3888,0.7552,1272.512,12,1685,308,25.66666667,6362.56
1,11f347a2-2f9c-4c55-9fd1-bc25b05ee6ad,33649334,8086,6996,0.8652,1908.6312,99,2206,308,3.111111111,1156.746182
1,11f347a2-2f9c-4c55-9fd1-bc25b05ee6ad,33649448,6392,5302,0.8295,1736.1435,5,2093,93,18.6,20833.722
1,11f347a2-2f9c-4c55-9fd1-bc25b05ee6ad,33654931,5710,4322,0.7569,2413.7541,11,3189,247,22.45454545,13165.93145
1,143f973d-1385-4c29-a639-676c0457f8ba,34067609,2596,702,0.2704,403.9776,4,1494,25,6.25,6059.664
1,19bcab60-2516-4114-9e09-0bf34ee906c8,32402688,6730,5604,0.8327,1660.4038,27,1994,110,4.074074074,3689.786222
1,1b2cd602-d184-401c-bc1e-887af034cc5d,34204542,3822,2732,0.7148,2020.0248,215,2826,485,2.255813953,563.7278512
1,1d1e4635-3ffd-44a5-a59e-787d64d1270a,36383804,3758,2648,0.7046,1167.5222,6,1657,59,9.833333333,11675.222
1,1d1e4635-3ffd-44a5-a59e-787d64d1270a,36392084,1110,0,0,0,35,1882,1,0.028571429,0
1,1d1e4635-3ffd-44a5-a59e-787d64d1270a,36392084,5724,4614,0.8061,1517.0802,35,1882,441,12.6,2600.708914
1,1d1e4635-3ffd-44a5-a59e-787d64d1270a,36392084,19906,576,0.0289,54.3898,35,1882,36,1.028571429,93.23965714
1,1d1e4635-3ffd-44a5-a59e-787d64d1270a,36392084,20094,1915,0.0953,179.3546,35,1882,9,0.257142857,307.4650286
1,1d1e4635-3ffd-44a5-a59e-787d64d1270a,36392084,21804,2380,0.1092,205.5144,35,1882,11,0.314285714,352.3104
1,1d1e4635-3ffd-44a5-a59e-787d64d1270a,36392084,23732,3507,0.1478,278.1596,35,1882,21,0.6,476.8450286
1,1d1e4635-3ffd-44a5-a59e-787d64d1270a,36392084,24724,4346,0.1758,330.8556,35,1882,29,0.828571429,567.1810286
1,1d1e4635-3ffd-44a5-a59e-787d64d1270a,36392384,2704,1594,0.5895,848.2905,7,1439,74,10.57142857,7271.061429
1,1d1e4635-3ffd-44a5-a59e-787d64d1270a,36393483,5430,4320,0.7956,1810.7856,6,2276,59,9.833333333,18107.856
1,1e9b9b7d-5b54-4a7b-944d-f23ce9d0eefb,36295213,4944,650,0.1315,250.902,99,1908,13,0.131313131,152.0618182
1,2addd3bf-6963-4fe2-9e42-cd72e98d6992,34773858,5576,1758,0.3153,679.7868,4,2156,30,7.5,10196.802
1,2dae861f-5a7a-4734-9984-51309f3e7fe3,33858660,7422,2174,0.2929,626.806,4,2140,85,21.25,9402.09
1,2dae861f-5a7a-4734-9984-51309f3e7fe3,33865420,3608,477,0.1322,207.0252,3,1566,24,8,4140.504
1,33770213-adb6-49df-9cc8-6dfc090f84d9,36648664,6592,5482,0.8316,2410.8084,40,2899,462,11.55,3616.2126
1,33770213-adb6-49df-9cc8-6dfc090f84d9,36652332,2658,1548,0.5824,1112.384,22,1910,344,15.63636364,3033.774545
1,33770213-adb6-49df-9cc8-6dfc090f84d9,36652332,2658,1548,0.5824,1112.384,94,1910,344,3.659574468,710.0323404
1,3538a63a-ef5a-48d3-85c0-cd30807e1682,32879690,3790,2700,0.7124,1745.38,3,2450,16,5.333333333,34907.6
1,3730ef56-014c-4f56-8dbe-8b1bde1c61df,36321394,9356,8246,0.8814,2281.0632,11,2588,75,6.818181818,12442.16291
1,374bcfd7-0663-42c1-86b2-463479f9edfa,34733952,5762,1670,0.2898,578.4408,14,1996,51,3.642857143,2479.032
1,374bcfd7-0663-42c1-86b2-463479f9edfa,34733952,6166,5076,0.8232,1643.1072,14,1996,194,13.85714286,7041.888
1,388e8e7f-0907-424f-a608-95a7e542d36e,32873965,6136,5046,0.8224,1465.5168,18,1782,494,27.44444444,4885.056
1,438b041e-b6dc-4dde-adc3-1d5120d3a36c,36515213,6224,462,0.0742,174.1474,3,2347,6,2,3482.948
1,4523b8b5-32f5-48c1-829b-ed8fc8a189bc,32605482,3010,1920,0.6379,891.1463,3,1397,44,14.66666667,17822.926
1,470a8607-e28d-4288-b726-a36bc74cbb7c,36330540,3654,2434,0.6661,1178.3309,14,1769,102,7.285714286,5049.989571
1,470a8607-e28d-4288-b726-a36bc74cbb7c,36331270,1110,0,0,0,33,1567,1,0.03030303,0
1,470a8607-e28d-4288-b726-a36bc74cbb7c,36331270,2840,1730,0.6092,954.6164,33,1567,328,9.939393939,1735.666182
1,47bdd77d-4f10-415e-8326-be78c097a337,36520661,2628,385,0.1465,232.349,4,1586,14,3.5,3485.235
