,user_id,reading_session,article_id,scroll_range,max_offset,ratio,displayedWords,reading_duration,numberOfWords,numOfScroll,freScroll,reading_speed,label
47,1.0,51f224c5-1bc4-4d88-b77e-5130f6b224ec,36294939.0,6092.0,4982.0,0.8178,2083.7544,826.0,2548,260.0,0.314769976,151.3623051,3
291,259.0,147b53b5-bffe-4cff-9b03-0b051fb32de7,37491982.0,3406.0,1580.0,0.4639,961.2008,1161.0,2072,158.0,0.13608957800000002,49.67445995,3
66,1.0,76128804-bac8-4f89-a0fb-373567d57ef8,36295622.0,2956.0,1846.0,0.6245,1142.835,1966.0,1830,35.0,0.017802645,34.87797558,3
748,428.0,eb35eeac-f294-44a4-ae4a-f4472c04f268,45462999.0,2544.0,346.0,0.136,382.16,57.0,2810,45.0,0.7894736840000001,402.2736842,2
225,250.0,25e0ef2f-e5e6-4370-b7dd-5e2f4d38114a,36786481.0,5712.0,1433.0,0.2509,1195.2876,29.0,4764,63.0,2.172413793,2473.008828,2
498,379.0,a9dd39f7-df8c-4a93-b7a6-d37d5058e57e,41772372.0,10131.0,449.0,0.0443,433.8299,13.0,9793,31.0,2.384615385,2002.291846,2
494,379.0,1a9430f5-498f-4f78-aec6-ca92414024f5,41788898.0,11604.0,470.0,0.0405,143.4915,18.0,3543,39.0,2.166666667,478.305,2
492,377.0,a2c531a9-0202-4b18-a4ab-054a17a1983f,41684111.0,4546.0,680.0,0.1496,405.7152,11.0,2712,12.0,1.0909090909999999,2212.992,2
232,250.0,43520516-39a9-449a-9c1c-71aaa91ad32f,36754229.0,1731.0,66.0,0.0381,62.2935,29.0,1635,11.0,0.379310345,128.8831034,2
490,377.0,32c05cda-c5f3-417f-902c-5d1761b9089d,41683713.0,5688.0,700.0,0.1231,417.309,3.0,3390,4.0,1.333333333,8346.18,2
234,250.0,5d068e98-43c8-4ff9-8026-9221f89e4a26,36778350.0,10044.0,2527.0,0.2516,714.7956,28.0,2841,131.0,4.678571429,1531.704857,2
489,377.0,32c05cda-c5f3-417f-902c-5d1761b9089d,41683713.0,5284.0,685.0,0.1296,439.344,3.0,3390,19.0,6.333333333,8786.88,2
484,364.0,39929020-e031-4b4b-b8b6-4a29dd2f3e24,40582046.0,12165.0,1960.0,0.1611,562.5612,16.0,3492,63.0,3.9375,2109.6045,2
