navigation_id,user_id,navigation_session,category_name,position,order_id,typeOfStudy,date_added
1,2,c183dcf4-cd36-4781-b6e9-cb73518e3880,Technology,1,1,Pilot,"2014-04-08 07:56:50"
2,4,87ad1b44-073a-4d79-add7-acd345fc49c7,Technology,6,1,Pilot,"2014-04-08 11:34:13"
3,4,87ad1b44-073a-4d79-add7-acd345fc49c7,"Top Stories",1,2,Pilot,"2014-04-08 11:34:14"
4,4,87ad1b44-073a-4d79-add7-acd345fc49c7,Health,2,3,Pilot,"2014-04-08 11:34:14"
5,4,87ad1b44-073a-4d79-add7-acd345fc49c7,Health,3,4,Pilot,"2014-04-08 11:34:16"
6,6,dd5cbd71-df0d-4b79-80d5-d236320eed5b,"Top Stories",3,1,Pilot,"2014-04-08 17:49:53"
7,6,dd5cbd71-df0d-4b79-80d5-d236320eed5b,Technology,2,2,Pilot,"2014-04-08 17:49:53"
8,7,8b6e0e9c-98bd-4e1e-82de-bf8e2c722558,Technology,1,1,Pilot,"2014-04-08 19:47:20"
9,7,8b6e0e9c-98bd-4e1e-82de-bf8e2c722558,Technology,7,2,Pilot,"2014-04-08 19:47:21"
10,8,d09f173b-5608-4076-ae19-420624e92c0f,"Top Stories",1,1,Pilot,"2014-04-08 21:35:00"
11,8,55c2163a-fb88-498c-b8c7-b5331ae5f183,"Top Stories",1,1,Pilot,"2014-04-08 21:47:23"
13,8,08a485e4-683a-47b7-9f42-3560f3916084,"Top Stories",1,1,Pilot,"2014-04-08 22:15:28"
19,8,4b28f423-2757-44e8-99cb-e92e88059677,"Top Stories",4,1,Pilot,"2014-04-08 22:38:06"
24,5,8793ddd1-fa55-466b-94bc-b16b0b71b7b6,Technology,1,1,Pilot,"2014-04-09 00:23:42"
25,6,857c88d8-85a5-4a79-8fc3-d54d26e1d5da,"Top Stories",1,1,Pilot,"2014-04-09 06:10:38"
26,6,857c88d8-85a5-4a79-8fc3-d54d26e1d5da,UK,8,2,Pilot,"2014-04-09 06:10:39"
27,6,857c88d8-85a5-4a79-8fc3-d54d26e1d5da,Technology,3,3,Pilot,"2014-04-09 06:10:39"
28,6,857c88d8-85a5-4a79-8fc3-d54d26e1d5da,Technology,5,4,Pilot,"2014-04-09 06:10:39"
29,6,857c88d8-85a5-4a79-8fc3-d54d26e1d5da,"Top Stories",1,1,Pilot,"2014-04-09 06:11:10"
30,6,857c88d8-85a5-4a79-8fc3-d54d26e1d5da,UK,8,2,Pilot,"2014-04-09 06:11:10"
31,6,857c88d8-85a5-4a79-8fc3-d54d26e1d5da,Technology,3,3,Pilot,"2014-04-09 06:11:10"
32,6,857c88d8-85a5-4a79-8fc3-d54d26e1d5da,Technology,5,4,Pilot,"2014-04-09 06:11:10"
33,3,36a452f8-4022-4881-9575-126a6b5f052a,"Top Stories",8,1,Pilot,"2014-04-09 08:24:52"
34,3,36a452f8-4022-4881-9575-126a6b5f052a,Health,8,2,Pilot,"2014-04-09 08:24:53"
35,3,36a452f8-4022-4881-9575-126a6b5f052a,Technology,1,3,Pilot,"2014-04-09 08:24:53"
36,3,36a452f8-4022-4881-9575-126a6b5f052a,"Top Stories",8,1,Pilot,"2014-04-09 08:25:46"
37,3,36a452f8-4022-4881-9575-126a6b5f052a,Health,8,2,Pilot,"2014-04-09 08:25:47"
38,3,36a452f8-4022-4881-9575-126a6b5f052a,Technology,1,3,Pilot,"2014-04-09 08:25:47"
39,4,c6a1e547-1532-47b9-a65d-9bc60dcb860c,"Science & Environment",3,1,Pilot,"2014-04-09 09:02:11"
40,4,c6a1e547-1532-47b9-a65d-9bc60dcb860c,"Top Stories",4,2,Pilot,"2014-04-09 09:02:12"
41,4,c6a1e547-1532-47b9-a65d-9bc60dcb860c,Health,1,3,Pilot,"2014-04-09 09:02:14"
42,8,d7673e84-a8e6-4621-8a50-9c8a58cf042e,Technology,1,1,Pilot,"2014-04-09 13:53:27"
43,8,d7673e84-a8e6-4621-8a50-9c8a58cf042e,Technology,8,2,Pilot,"2014-04-09 13:53:27"
44,3,bc0da86b-2a4e-44fb-8a61-2fd5208953f3,"Science & Environment",3,1,Pilot,"2014-04-09 16:45:16"
45,3,bc0da86b-2a4e-44fb-8a61-2fd5208953f3,World,2,2,Pilot,"2014-04-09 16:45:17"
46,3,bc0da86b-2a4e-44fb-8a61-2fd5208953f3,World,3,3,Pilot,"2014-04-09 16:45:17"
47,5,66338752-9581-4dca-9863-7da6ebfa9135,Health,7,1,Pilot,"2014-04-09 18:09:08"
48,5,66338752-9581-4dca-9863-7da6ebfa9135,Health,7,1,Pilot,"2014-04-09 18:10:34"
49,6,f9a71043-9edf-45aa-a843-c13d32cedbae,"Top Stories",2,1,Pilot,"2014-04-09 19:34:02"
50,6,f9a71043-9edf-45aa-a843-c13d32cedbae,"Top Stories",4,2,Pilot,"2014-04-09 19:34:02"
51,6,f9a71043-9edf-45aa-a843-c13d32cedbae,"Top Stories",2,1,Pilot,"2014-04-09 19:38:58"
52,6,f9a71043-9edf-45aa-a843-c13d32cedbae,"Top Stories",4,2,Pilot,"2014-04-09 19:38:58"
53,9,6ebb22c1-b04b-4aca-9db7-ea8e6bc288aa,Business,5,1,Pilot,"2014-04-09 23:29:14"
54,9,6ebb22c1-b04b-4aca-9db7-ea8e6bc288aa,World,5,2,Pilot,"2014-04-09 23:29:14"
55,9,6ebb22c1-b04b-4aca-9db7-ea8e6bc288aa,UK,4,3,Pilot,"2014-04-09 23:29:14"
56,9,6ebb22c1-b04b-4aca-9db7-ea8e6bc288aa,"Science & Environment",8,4,Pilot,"2014-04-09 23:29:14"
57,3,7250ad2b-383a-40ce-ab5f-bafcc5d275e3,"Education & Family",8,1,Pilot,"2014-04-10 00:11:09"
58,3,7250ad2b-383a-40ce-ab5f-bafcc5d275e3,"Top Stories",7,2,Pilot,"2014-04-10 00:11:09"
59,9,a54722c9-a2c7-49b1-b535-accd13395d04,"Education & Family",1,1,Pilot,"2014-04-10 00:45:25"
60,6,bc77140f-89b9-4a55-b6f5-7531180d056e,"Top Stories",1,1,Pilot,"2014-04-10 04:56:28"
61,6,bc77140f-89b9-4a55-b6f5-7531180d056e,"Top Stories",5,2,Pilot,"2014-04-10 04:56:40"
62,6,bc77140f-89b9-4a55-b6f5-7531180d056e,Business,8,3,Pilot,"2014-04-10 04:56:41"
63,6,bc77140f-89b9-4a55-b6f5-7531180d056e,Technology,5,4,Pilot,"2014-04-10 04:56:41"
64,6,bc77140f-89b9-4a55-b6f5-7531180d056e,"Top Stories",1,1,Pilot,"2014-04-10 05:01:14"
65,6,bc77140f-89b9-4a55-b6f5-7531180d056e,"Top Stories",5,2,Pilot,"2014-04-10 05:01:15"
66,6,bc77140f-89b9-4a55-b6f5-7531180d056e,Business,8,3,Pilot,"2014-04-10 05:01:15"
67,6,bc77140f-89b9-4a55-b6f5-7531180d056e,Technology,5,4,Pilot,"2014-04-10 05:01:15"
68,8,5a12e2f3-ce4b-4bf9-8ab1-f319ac668fb6,Technology,4,1,Pilot,"2014-04-10 08:55:06"
69,8,60e0c5c3-a22b-4a36-a420-f983c77e997f,Technology,5,1,Pilot,"2014-04-10 09:04:36"
70,8,60e0c5c3-a22b-4a36-a420-f983c77e997f,"Top Stories",1,2,Pilot,"2014-04-10 09:04:37"
71,8,60e0c5c3-a22b-4a36-a420-f983c77e997f,World,3,3,Pilot,"2014-04-10 09:04:37"
72,8,60e0c5c3-a22b-4a36-a420-f983c77e997f,"Science & Environment",8,4,Pilot,"2014-04-10 09:04:37"
73,8,d0049ec9-6dcf-41b9-90ff-5bd9516d6425,"Science & Environment",2,1,Pilot,"2014-04-10 09:54:34"
74,8,d0049ec9-6dcf-41b9-90ff-5bd9516d6425,Technology,2,2,Pilot,"2014-04-10 09:54:34"
75,9,20d44188-eed1-4a12-891c-17ea2cccb7ce,"Entertainment & Arts",1,1,Pilot,"2014-04-10 13:13:29"
76,4,650a4511-e9e9-4e86-ae2e-3b873f4beb80,"Top Stories",2,1,Pilot,"2014-04-10 15:29:56"
77,4,650a4511-e9e9-4e86-ae2e-3b873f4beb80,Business,3,2,Pilot,"2014-04-10 15:29:56"
78,7,67a6c093-c881-4a86-bc79-a2d32b45a121,"Top Stories",3,1,Pilot,"2014-04-10 17:10:01"
79,7,67a6c093-c881-4a86-bc79-a2d32b45a121,"Top Stories",5,2,Pilot,"2014-04-10 17:10:01"
80,7,67a6c093-c881-4a86-bc79-a2d32b45a121,World,2,3,Pilot,"2014-04-10 17:10:02"
81,7,67a6c093-c881-4a86-bc79-a2d32b45a121,Politics,3,4,Pilot,"2014-04-10 17:10:02"
82,7,67a6c093-c881-4a86-bc79-a2d32b45a121,Health,4,5,Pilot,"2014-04-10 17:10:03"
83,7,67a6c093-c881-4a86-bc79-a2d32b45a121,"Top Stories",3,1,Pilot,"2014-04-10 17:11:50"
84,7,67a6c093-c881-4a86-bc79-a2d32b45a121,"Top Stories",5,2,Pilot,"2014-04-10 17:11:50"
85,7,67a6c093-c881-4a86-bc79-a2d32b45a121,World,2,3,Pilot,"2014-04-10 17:11:51"
86,7,67a6c093-c881-4a86-bc79-a2d32b45a121,Politics,3,4,Pilot,"2014-04-10 17:11:51"
87,7,67a6c093-c881-4a86-bc79-a2d32b45a121,Health,4,5,Pilot,"2014-04-10 17:11:51"
88,3,2d6fcc5a-d5da-4db1-856d-dffce44fe9c8,Technology,3,1,Pilot,"2014-04-10 19:18:29"
89,6,a2ad7f1f-4933-434e-a84c-669b0c3c65af,"Top Stories",1,1,Pilot,"2014-04-11 06:35:31"
90,6,a4d3cba4-7902-4ad3-99fb-7be68a54f2ae,UK,6,1,Pilot,"2014-04-11 06:40:36"
91,6,a4d3cba4-7902-4ad3-99fb-7be68a54f2ae,UK,8,2,Pilot,"2014-04-11 06:40:36"
92,6,a4d3cba4-7902-4ad3-99fb-7be68a54f2ae,Business,4,3,Pilot,"2014-04-11 06:40:37"
93,6,a4d3cba4-7902-4ad3-99fb-7be68a54f2ae,Technology,5,4,Pilot,"2014-04-11 06:40:37"
94,4,ea408cff-6ae4-4d7b-a716-2c81491e7b8c,UK,4,1,Pilot,"2014-04-11 18:01:02"
95,4,ea408cff-6ae4-4d7b-a716-2c81491e7b8c,"Entertainment & Arts",2,2,Pilot,"2014-04-11 18:01:02"
96,3,9a672b3d-79f0-4d17-bf82-ba3e3988475a,Technology,1,1,Pilot,"2014-04-11 21:01:01"
97,3,9a672b3d-79f0-4d17-bf82-ba3e3988475a,Technology,3,2,Pilot,"2014-04-11 21:01:02"
98,10,f69dc2bc-72ea-4e5a-bd87-e5af91c166d9,Technology,1,1,Pilot,"2014-04-12 01:26:56"
99,10,f69dc2bc-72ea-4e5a-bd87-e5af91c166d9,Technology,1,2,Pilot,"2014-04-12 01:26:56"
100,10,f69dc2bc-72ea-4e5a-bd87-e5af91c166d9,Technology,3,3,Pilot,"2014-04-12 01:26:56"
101,10,f69dc2bc-72ea-4e5a-bd87-e5af91c166d9,Technology,6,4,Pilot,"2014-04-12 01:26:56"
102,10,5fe63344-5e27-451d-a026-a03a53aa1c7f,Technology,8,1,Pilot,"2014-04-12 01:30:36"
103,6,a236bcdc-d48c-4e8c-82cc-bf37ba5fbaff,"Top Stories",7,1,Pilot,"2014-04-12 05:32:57"
104,6,a236bcdc-d48c-4e8c-82cc-bf37ba5fbaff,Business,3,2,Pilot,"2014-04-12 05:32:59"
