navigation_metadata_id,user_id,user_session,categoryName,swipeDirection,itemPosition,date_added
8,1,066cd539-28b6-4e23-a625-b8d6ba88b29d,"Top Stories","right to left",1,"2014-11-10 15:19:43"
9,1,066cd539-28b6-4e23-a625-b8d6ba88b29d,"Top Stories","right to left",2,"2014-11-10 15:19:43"
10,1,066cd539-28b6-4e23-a625-b8d6ba88b29d,"Top Stories","right to left",3,"2014-11-10 15:19:43"
11,1,066cd539-28b6-4e23-a625-b8d6ba88b29d,"Top Stories","right to left",4,"2014-11-10 15:19:44"
12,1,066cd539-28b6-4e23-a625-b8d6ba88b29d,World,"left to right",0,"2014-11-10 15:19:44"
13,1,066cd539-28b6-4e23-a625-b8d6ba88b29d,World,"right to left",1,"2014-11-10 15:19:45"
14,1,066cd539-28b6-4e23-a625-b8d6ba88b29d,World,"right to left",2,"2014-11-10 15:19:45"
15,1,066cd539-28b6-4e23-a625-b8d6ba88b29d,World,"right to left",3,"2014-11-10 15:19:46"
16,1,066cd539-28b6-4e23-a625-b8d6ba88b29d,World,"left to right",2,"2014-11-10 15:19:46"
17,1,066cd539-28b6-4e23-a625-b8d6ba88b29d,World,"left to right",1,"2014-11-10 15:19:46"
18,1,066cd539-28b6-4e23-a625-b8d6ba88b29d,World,"left to right",0,"2014-11-10 15:19:46"
19,1,cd0b8e25-d7da-4421-b0dc-96f01a8e0c55,World,"right to left",1,"2014-11-10 15:56:09"
20,1,cd0b8e25-d7da-4421-b0dc-96f01a8e0c55,World,"right to left",2,"2014-11-10 15:56:09"
21,1,cd0b8e25-d7da-4421-b0dc-96f01a8e0c55,World,"right to left",3,"2014-11-10 15:56:10"
22,1,cd0b8e25-d7da-4421-b0dc-96f01a8e0c55,World,"left to right",2,"2014-11-10 15:56:12"
23,1,cd0b8e25-d7da-4421-b0dc-96f01a8e0c55,World,"left to right",1,"2014-11-10 15:56:12"
24,1,cd0b8e25-d7da-4421-b0dc-96f01a8e0c55,World,"left to right",0,"2014-11-10 15:56:13"
25,1,cd0b8e25-d7da-4421-b0dc-96f01a8e0c55,Business,"right to left",1,"2014-11-10 15:56:30"
26,1,cd0b8e25-d7da-4421-b0dc-96f01a8e0c55,Business,"right to left",2,"2014-11-10 15:56:30"
27,1,cd0b8e25-d7da-4421-b0dc-96f01a8e0c55,Business,"right to left",3,"2014-11-10 15:56:31"
28,1,cd0b8e25-d7da-4421-b0dc-96f01a8e0c55,Business,"right to left",4,"2014-11-10 15:56:31"
29,1,cd0b8e25-d7da-4421-b0dc-96f01a8e0c55,Business,"right to left",5,"2014-11-10 15:56:32"
30,1,cd0b8e25-d7da-4421-b0dc-96f01a8e0c55,Business,"right to left",6,"2014-11-10 15:56:33"
31,1,cd0b8e25-d7da-4421-b0dc-96f01a8e0c55,Business,"left to right",5,"2014-11-10 15:56:35"
32,1,cd0b8e25-d7da-4421-b0dc-96f01a8e0c55,Business,"left to right",4,"2014-11-10 15:56:35"
